"a, an","indefinite, article","а,",
curtain,Noun,штора,She opened the curtains to let in the morning sunlight.
curve,Noun Verb,кривая,"The road curved around the mountain, offering breathtaking views."
curved,Adjective,изогнутый,"The bridge had a curved design, adding to its architectural beauty."
custom,Noun,обычай,It is a custom in their culture to exchange gifts on New Year's Day.
customer,Noun,клиент,The customer asked for assistance with finding the right product.
cut,"Verb , Noun",резать,She used a knife to cut the vegetables for the salad.
cycle,Noun Verb,цикл,"The water cycle involves evaporation, condensation, and precipitation."
dad,Noun,папа,Her dad taught her how to ride a bike when she was young.
daily,"Adjective, Adverb",ежедневно,He reads the newspaper daily to stay informed about current events.
damage,Noun Verb,повреждение,The storm caused extensive damage to the buildings in the area.
dance,Noun Verb,танец,They danced together at the wedding reception.
dancer,Noun,танцор,She is a talented ballet dancer and performs in professional productions.
dancing,Noun,танцы,They spent the evening dancing to their favorite songs.
danger,Noun,Опасность,The hikers were warned about the danger of avalanches in the area.
dangerous,Adjective,опасно,Swimming in the deep sea can be dangerous without proper training.
dark,"Adjective, Noun",тьма,The room was dark and gloomy.
data,Noun,данные,The data collected from the survey will be analyzed.
date,Noun Verb,Дата,What is the date of the event?
daughter,Noun,дочь,She is a proud mother of two daughters.
day,Noun,день,We had a great day at the beach.
dead,Adjective,мертвых,The flowers on the grave symbolized the remembrance of the dead.
deal,Verb Noun,по рукам,They agreed on a deal to sell the property.
dear,"Adjective, exclam",Уважаемые,"Dear Mr. Smith, I am writing to inquire about the job vacancy."
death,Noun,смерть,The sudden death of her pet cat saddened her.
debate,Noun Verb,обсуждение,The candidates engaged in a heated debate on live television.
debt,Noun,долг,He is struggling to repay his student debt.
decade,Noun,десятилетие,The fashion trends of the 1990s are making a comeback.
December,Noun,Декабрь,December is my favorite month because of the holiday season.
decent,Adjective,порядочный,He is a decent person who always helps others.
decide,Verb,решать,It's time to decide which college to attend.
decision,Noun,решение,Making the decision to move to a new city was difficult.
declare,Verb,DECLARE,The government will declare a state of emergency in the affected area.
decline,Verb Noun,снижение,The company's profits declined significantly last quarter.
decorate,Verb,украсьте,She decorated the house with colorful balloons for the party.
decoration,Noun,украшение,The Christmas tree was adorned with beautiful ornaments and lights.
decrease,Verb Noun,снижение,The price of the product decreased by 20% during the sale.
deep,"Adjective, Adverb",глубоко,The ocean is deep and mysterious.
deeply,Adverb,глубоко,He was deeply moved by her heartfelt speech.
defeat,Verb Noun,поражение,The team suffered a crushing defeat in the championship game.
defence,Noun,защита,The army was responsible for the defence of the nation.
defend,Verb,защищать,He will defend his title in the upcoming boxing match.
define,Verb,определять,"Can you define the word ""courage""?"
definite,Adjective,определенный,We need a definite answer by tomorrow.
definitely,Adverb,определенно,I will definitely attend the concert if I can get tickets.
definition,Noun,определение,The dictionary provides a clear definition of each word.
degree,Noun,степень,She earned a degree in psychology from a prestigious university.
delay,Verb Noun,задержка,The flight was delayed due to bad weather conditions.
deliberate,Adjective,совещаться,They made a deliberate decision after careful consideration.
deliberately,Adverb,сознательно,He deliberately ignored her calls because he was angry.
delicious,Adjective,вкусные,"The pizza was delicious, with a perfect blend of flavors."
delight,Verb Noun,восторг,The children's faces lit up with delight when they saw the presents.
delighted,Adjective,Обрадованный,She was delighted to receive an invitation to the party.
deliver,Verb,доставить,The courier will deliver the package to your doorstep.
delivery,Noun,Доставка,The restaurant offers home delivery for orders placed online.
demand,Noun Verb,спрос,There is a high demand for the new product.
demonstrate,Verb,демонстрировать,The scientist will demonstrate the experiment to the audience.
dentist,Noun,зубной врач,She has an appointment with the dentist tomorrow morning.
deny,Verb,Отрицать,He denied any involvement in the crime.
department,Noun,отдел,She works in the marketing department of the company.
departure,Noun,выезд,The departure of the train was delayed by 30 minutes.
depend,Verb,зависеть,The success of the project will depend on teamwork and coordination.
depressed,Adjective,депрессии,She has been feeling depressed lately and seeks professional help.
depressing,Adjective,удручает,The news of the accident was depressing for everyone.
depth,Noun,глубина,The depth of the ocean is still largely unexplored.
describe,Verb,описывать,Can you describe the suspect to the police?
description,Noun,описание,The job description outlined the responsibilities and requirements.
desert,Noun Verb,пустыня,The Sahara Desert is the largest hot desert in the world.
deserve,Verb,заслуживать,She deserves recognition for her hard work and dedication.
design,Noun Verb,дизайн,The architect created a unique design for the new building.
designer,Noun,дизайнер,She works as a fashion designer for a famous clothing brand.
desire,Noun Verb,желание,Her desire to travel the world led her on many adventures.
desk,Noun,стол письменный,He sat at his desk and began working on his report.
desperate,Adjective,отчаянный,The refugees were in desperate need of food and shelter.
despite,prep,несмотря,"Despite the rain, they went for a hike in the mountains."
destination,Noun,место назначения,The beach resort was their chosen destination for the vacation.
destroy,Verb,уничтожить,The fire destroyed the entire building.
detail,Noun Verb,подробно,He explained the plan in detail to ensure everyone understood.
detailed,Adjective,детальнее,The report provided a detailed analysis of the company's financials.
detect,Verb,обнаружить,The police dog can detect the presence of illegal substances.
detective,Noun,детектив,She enjoys reading detective novels in her free time.
determine,Verb,определить,The judge will determine the outcome of the trial.
determined,Adjective,определяется,She is a determined individual who never gives up.
develop,Verb,развивать,The company plans to develop new products in the coming years.
development,Noun,развитие,The city has seen significant development in recent years.
device,Noun,устройство,He uses a tracking device to monitor his daily steps.
diagram,Noun,диаграмма,The diagram illustrates the process step by step.
dialogue,Noun,диалог,The characters engaged in a deep and meaningful dialogue.
diamond,Noun,бриллиант,She received a diamond necklace as an anniversary gift.
diary,Noun,дневник,She wrote her thoughts and experiences in her diary every day.
dictionary,Noun,Словарь,He looked up the word in the dictionary to find its meaning.
die,Verb,умереть,The old tree will eventually die due to disease and old age.
diet,Noun,рацион питания,She follows a strict diet to maintain her health.
difference,Noun,разница,There is a significant difference between the two options.
different,Adjective,разные,They have different opinions on the matter.
differently,Adverb,по-другому,She approached the problem differently than her colleagues.
difficult,Adjective,трудно,Learning a new language can be difficult at first.
difficulty,Noun,трудность,She faced many difficulties while starting her own business.
dig,Verb,копать землю,They had to dig a hole to plant the tree.
digital,Adjective,цифровой,The digital revolution has transformed the way we communicate.
dinner,Noun,ужин,They enjoyed a delicious dinner at their favorite restaurant.
direct,"Adjective, Verb Adverb",непосредственный,He gave a direct answer to the question.
direction,Noun,направление,She followed the direction signs to find her way to the hotel.
directly,Adverb,непосредственно,He addressed the issue directly with his boss.
director,Noun,директор,The director of the company announced a new strategic plan.
dirt,Noun,грязь,The children played in the dirt and got their clothes dirty.
dirty,Adjective,грязный,Please clean up your dirty shoes before entering the house.
Dis Adverbantage,Noun,Dis Adverbantage,"I'm sorry, but ""Dis Adverbantage"" does not have a specific meaning in English."
disagree,Verb,не соглашаться,They often disagree on political issues.
disappear,Verb,исчезать,The magician made the rabbit disappear from the hat.
disappointed,Adjective,разочарованный,She felt disappointed when her favorite team lost the game.
disappointing,Adjective,разочарование,The movie received disappointing reviews from critics.
disaster,Noun,катастрофа,"The earthquake was a major disaster, causing widespread damage."
disc,Noun,диск,He inserted the disc into the DVD player to watch a movie.
discipline,Noun,дисциплина,The school has strict discipline policies for its students.
discount,Noun Verb,скидка,The store offered a 50% discount on all items for the holiday season.
discover,Verb,обнаружить,The scientist discovered a new species of insect in the rainforest.
discovery,Noun,открытие,The discovery of penicillin revolutionized the field of medicine.
discuss,Verb,обсуждать,Let's discuss the details of the project during the meeting.
discussion,Noun,обсуждение,The panel had a heated discussion about the future of renewable energy.
disease,Noun,болезнь,He was diagnosed with a rare disease that required specialized treatment.
dish,Noun,блюдо,She prepared a delicious dish for the dinner party.
dishonest,Adjective,нечестный,The dishonest salesman tried to sell us a defective product.
dislike,Verb Noun,нелюбовь,I have a strong dislike for spicy food.
dismiss,Verb,отклонять,The judge decided to dismiss the case due to lack of evidence.
display,Verb Noun,дисплей,The museum display showcased ancient artifacts from different cultures.
distance,Noun,расстояние,The distance between the two cities is approximately 200 kilometers.
distribute,Verb,распространять,The company plans to distribute its products globally.
distribution,Noun,распределение,The distribution of wealth is a topic of political debate.
district,Noun,район,She lives in the downtown district of the city.
divide,Verb Noun,делить,They decided to divide the work equally among team members.
division,Noun,деление,The division of labor improved efficiency in the workplace.
divorced,Adjective,разведенный,"My parents are divorced, but they have a good co-parenting relationship."
do,Verb auxiliary verb,делать,I have to do my homework before going out with friends.
doctor,Noun,доктор,She visited the doctor for her annual check-up.
document,Noun Verb,документ,Please sign the document to confirm your agreement.
documentary,Noun,документальный,The documentary film provided an in-depth look at the environmental crisis.
dog,Noun,собака,He adopted a rescue dog from the animal shelter.
dollar,Noun,доллар,The price of the item is 10 dollars.
domestic,Adjective,внутренний,She prefers domestic travel over international travel.
dominate,Verb,властвуй,The team has dominated the competition for the past three years.
donate,Verb,жертвовать,They decided to donate their old clothes to a local charity.
door,Noun,дверь,Please close the door behind you when you leave.
double,"Adjective det. proNoun Verb , Adverb",двойной,She ordered a double espresso to start her day.
doubt,Noun Verb,сомнение,He had doubts about the feasibility of the project.
down,Adverb Prep,вниз,He walked down the stairs to the basement.
download,Verb Noun,скачать,You can download the file from the website.
downstairs,"Adverb , Adjective",вниз по лестнице,She went downstairs to check on the laundry.
downwards,Adverb,вниз,The waterfall cascaded downwards with great force.
dozen,Noun det,дюжина,He bought a dozen roses for his wife on their anniversary.
draft,Noun Verb,черновой вариант,She revised the draft of her novel before sending it to the publisher.
drag,Verb,бремя,The heavy suitcase was difficult to drag up the stairs.
drama,Noun,драма,The play was a gripping drama that kept the audience engaged.
dramatic,Adjective,драматичный,The movie had a dramatic ending that left the viewers in awe.
draw,Verb,привлечь,The painting's vibrant colors drew the attention of the visitors.
drawing,Noun,Рисование,She enjoys drawing as a form of creative expression.
dream,Noun Verb,мечта,She had a dream about flying through the clouds.
dress,Noun Verb,платье,She wore a beautiful dress to the party.
dressed,Adjective,одетый,He was dressed in a suit for the formal event.
drink,Noun Verb,пить,I'm thirsty. Can I have a drink of water?
drive,Verb Noun,водить машину,She learned how to drive a car at the age of 16.
driver,Noun,Водитель,The bus driver safely transported the passengers to their destination.
driving,Noun,вождение,He enjoys long drives and exploring new places.
drop,Verb Noun,падение,She accidentally dropped her phone and cracked the screen.
drug,Noun,"препарат, средство, медикамент",The doctor prescribed a new drug to treat her condition.
drum,Noun,барабан,He played the drum in the band's live performance.
drunk,Adjective,пьяный,He had too much to drink and was visibly drunk.
dry,"Adjective, Verb",сухой,"Her clothes were still wet, so she hung them up to dry."
due,Adjective,должное,The report is due by the end of the week.
during,prep,в течение,She worked diligently during the summer to save money for college.
dust,Noun,пыль,She wiped the dust off the shelves with a clean cloth.
duty,Noun,обязанность,It is your duty to report any suspicious activity to the authorities.
DVD,Noun,DVD,They rented a DVD to watch a movie at home.
each,det./proNoun/Adverb,каждый,Each student received a certificate of achievement.
ear,Noun,ухо,He whispered something into her ear.
early,Adjective Adverb,рано,She woke up early to catch the sunrise.
earn,Verb,зарабатывать,He works hard to earn a living for his family.
earth,Noun,земной шар,The Earth revolves around the sun.
earthquake,Noun,землетрясение,The earthquake shook the entire city.
easily,Adverb,без труда,He learns new skills easily.
east,Noun Adjective Adverb,восток,The sun rises in the east.
eastern,Adjective,восточный,They went on a vacation to an exotic Eastern destination.
easy,Adjective,легко,The exam questions were easy for him to answer.
eat,Verb,есть,They decided to eat dinner at a local restaurant.
economic,Adjective,экономической,The country is experiencing economic growth and development.
economy,Noun,экономика,The global economy is facing challenges due to the pandemic.
edge,Noun,край,Be careful not to fall off the edge of the cliff.
edit,Verb,редактировать,She spent hours editing her essay for grammar and style.
edition,Noun,издание,The bookstore had the latest edition of the bestselling novel.
editor,Noun,редактор,The editor reviewed the article for publication.
educate,Verb,воспитывать,Parents have a responsibility to educate their children.
educated,Adjective,образованный,She comes from an educated family and values learning.
education,Noun,образование,Education is the key to a brighter future.
educational,Adjective,образования,The museum offers educational programs for school groups.
effect,Noun,эффект,The medication had a positive effect on her health.
effective,Adjective,эффективный,The new marketing strategy proved to be highly effective.
effectively,Adverb,фактически,She effectively communicated her ideas to the team.
efficient,Adjective,эффективное,The new system is more efficient and saves time.
effort,Noun,усилие,He put a lot of effort into finishing the project on time.
egg,Noun,яйцо,She cooked a delicious omelette with two eggs.
eight,Number,восемь,There are eight chairs around the dining table.
eighteen,Number,восемнадцать,He turned eighteen yesterday and had a big celebration.
eighty,Number,восемьдесят,The temperature reached eighty degrees Fahrenheit.
either,Det./ProNoun,либо,You can choose either the blue or the red shirt.
elderly,Adjective,престарелые,The elderly couple enjoyed a peaceful walk in the park.
elect,Verb,избранные,The citizens will elect a new mayor in the upcoming elections.
election,Noun,выборы,The presidential election is scheduled for next month.
electric,Adjective,электрический,She plugged in the electric kettle to boil water.
electrical,Adjective,электрический,The electrical appliances in the house need to be repaired.
electricity,Noun,электричество,"The power outage lasted for several hours, leaving us without electricity."
electronic,Adjective,электронный,He is an expert in electronic devices and circuit design.
element,Noun,элемент,Hydrogen is the lightest element in the periodic table.
elephant,Noun,слон,We saw a herd of elephants during our safari in Africa.
eleven,Number,одиннадцать,There are eleven players on the soccer team.
else,Adverb,еще,"I don't want anything else, thank you."
elsewhere,Adverb,в другом месте,"If you can't find it here, try looking elsewhere."
email,Noun Verb,эл. адрес,Please send me an email with the details of the meeting.
embarrassed,Adjective,смущенный,She felt embarrassed when she realized her mistake.
embarrassing,Adjective,затруднительный,"It was an embarrassing situation, and he didn't know what to say."
emerge,Verb,всплывать,The sun started to emerge from behind the clouds.
emergency,Noun,чрезвычайная ситуация,"In case of an emergency, please exit the building immediately."
emotion,Noun,эмоция,The movie evoked strong emotions in the audience.
emotional,Adjective,эмоциональный,She had an emotional reaction to the news of her promotion.
emphasis,Noun,акцент,The emphasis in his speech was on the importance of education.
emphasize,Verb,подчеркнуть,The coach emphasized the importance of teamwork to the players.
employ,Verb,нанимают,The company plans to employ new staff members next month.
employee,Noun,наемный рабочий,The employee received a promotion for his hard work.
employer,Noun,работодатель,The employer provided additional benefits to the employees.
employment,Noun,трудоустройство,Finding employment after graduation can be challenging.
empty,"Adjective, Verb",опорожнить,He emptied the trash can and replaced the bag.
enable,Verb,включить,The new software update will enable additional features.
encounter,Verb Noun,столкновение,She encountered a bear while hiking in the woods.
encourage,Verb,поощрять,The teacher encouraged the students to participate in the class discussion.
end,Noun Verb,конец,The movie had a surprising twist at the end.
ending,Noun,окончание,The book's ending left the readers wanting more.
enemy,Noun,враг,The soldier fought bravely against the enemy.
energy,Noun,энергия,Solar panels convert sunlight into energy.
engage,Verb,заниматься,She likes to engage in outdoor activities during her free time.
engaged,Adjective,занято,"The phone line was engaged, so I couldn't reach him."
engine,Noun,двигатель,The car's engine started making strange noises.
engineer,Noun,инженер,He works as a civil engineer for a construction company.
engineering,Noun,инжиниринг,She studied engineering in college and now works as an engineer.
enhance,Verb,усилить,The new software update will enhance the performance of the device.
enjoy,Verb,наслаждаться,They enjoyed a relaxing vacation on the beach.
enormous,Adjective,огромный,The elephant is an enormous animal.
enough,Det./ProNoun Adverb,достаточно,I've had enough food for the day.
enquiry,Noun,запрос,She made an enquiry about the availability of the product.
ensure,Verb,обеспечивать,Please ensure that all the doors are locked before leaving.
enter,Verb,войти,We entered the room and found it beautifully decorated.
entertain,Verb,развлекать,The magician's performance entertained the audience.
entertainment,Noun,развлекательная программа,The amusement park offers various forms of entertainment for visitors.
enthusiasm,Noun,энтузиазм,He showed great enthusiasm for the project and motivated the team.
enthusiastic,Adjective,восторженный,She was enthusiastic about the idea and volunteered to lead the project.
entire,Adjective,все,The entire city was covered in a thick blanket of snow.
entirely,Adverb,полностью,I agree with you entirely on this matter.
entrance,Noun,Вход,The entrance to the museum was adorned with beautiful flowers.
entry,Noun,запись,She made an entry in her diary about the exciting day she had.
environment,Noun,Окружающая среда,We must take care of the environment and reduce pollution.
environmental,Adjective,экологическая,They conducted an environmental study to assess the impact of the project.
episode,Noun,эпизод,I watched the latest episode of my favorite TV show last night.
equal,"Adjective, Verb Noun",равный,"In a fair competition, everyone should have an equal chance of winning."
equally,Adverb,в равной степени,"He treated all his students equally, without favoritism."
equipment,Noun,оборудование,The gym is equipped with state-of-the-art exercise equipment.
error,Noun,ошибка,"There was an error in the calculation, which led to the wrong result."
escape,Verb Noun,побег,The prisoner attempted to escape from the high-security prison.
especially,Adverb,особенно,"I love ice cream, especially the chocolate flavor."
essay,Noun,сочинение,She received an A+ on her history essay.
essential,Adjective,существенный,Good communication skills are essential in the workplace.
establish,Verb,установить,The company plans to establish a new branch in the city.
estate,Noun,имущество,He inherited a large estate from his grandfather.
estimate,Verb Noun,оценить,The contractor provided an estimate for the cost of the renovation.
ethical,Adjective,этический,The company has a strict ethical code for its employees.
euro,Noun,евро,The price of the item is ten euros.
evaluate,Verb,оценивать,The teacher will evaluate the students' performance in the exam.
even,AdVerb Adjective,четный,"The numbers two, four, six, and eight are even."
evening,Noun,вечер,They went for a romantic walk in the evening.
event,Noun,мероприятие,The charity event raised funds for a worthy cause.
eventually,Adverb,в конце концов,"With hard work and dedication, he eventually achieved his goal."
ever,Adverb,Когда-либо,Have you ever been to Paris?
every,Det,каждый,She wakes up early every morning to go for a run.
everybody,ProNoun,все,Everybody enjoyed the concert last night.
everyday,Adjective,каждый день,Taking a shower is part of my everyday routine.
everyone,ProNoun,все,Everyone is invited to the party.
everything,ProNoun,все,She packed everything she needed for the trip.
everywhere,Adverb,где угодно,The child searched for his lost toy everywhere in the house.
evidence,Noun,свидетельство,The fingerprints on the glass were evidence of his presence.
evil,"Adjective, Noun",злой,The evil witch cast a spell on the princess.
exact,Adjective,точный,Please provide the exact time of the meeting.
exactly,Adverb,именно,I knew exactly what she meant when she said that.
exam,Noun,экзамен,He studied hard for the final exam.
examination,Noun,экспертиза,The doctor performed a thorough examination of the patient.
examine,Verb,исследовать,The detective will examine the evidence carefully.
example,Noun,пример,He gave an example of how to solve the math problem.
excellent,Adjective,превосходно,She received excellent feedback on her presentation.
except,"Prep, Conj",Кроме,Everyone attended the meeting except for John.
exchange,Noun Verb,обмен,They made an exchange of gifts during the holiday party.
excited,Adjective,в восторге,The children were excited to open their presents on Christmas morning.
excitement,Noun,волнение,The excitement in the air was palpable as the concert began.
exciting,Adjective,захватывающе,It was an exciting adventure that they will never forget.
excuse,Noun Verb,оправдание,He made up an excuse for being late to the meeting.
executive,Noun Adjective,должностное лицо,She is a high-ranking executive in the company.
exercise,Noun Verb,упражнение,I do exercise every morning to stay fit.
exhibition,Noun,выставка,We visited an art exhibition at the museum.
exist,Verb,существует,Unicorns do not exist; they are mythical creatures.
existence,Noun,существование,The existence of life on other planets is still a mystery.
expand,Verb,расширять,The company plans to expand its operations overseas.
expect,Verb,ожидать,I expect to receive a response to my email by tomorrow.
expectation,Noun,ожидание,His expectation of winning the competition was high.
expected,Adjective,ожидаемый,The expected delivery date for the package is next week.
expedition,Noun,экспедиция,They went on an expedition to explore the uncharted island.
expense,Noun,расходы,The expenses for the business trip will be reimbursed.
expensive,Adjective,дорого,The designer handbag is too expensive for me to afford.
experience,Noun Verb,опыт,Traveling to different countries gives you a rich experience.
experienced,Adjective,опытный,We hired an experienced architect to design our new house.
experiment,Noun Verb,эксперимент,The scientist conducted an experiment to test her hypothesis.
expert,Noun Adjective,эксперт,We consulted an expert to get advice on our investment portfolio.
explain,Verb,объяснять,Can you explain the process step by step?
explanation,Noun,объяснение,The teacher provided a clear explanation of the math problem.
explode,Verb,взрываться,The fireworks exploded in a burst of colorful lights.
exploration,Noun,исследование,The team conducted an exploration of the underwater cave.
explore,Verb,проводить исследования,They plan to explore the ancient ruins in the jungle.
explosion,Noun,взрыв,The explosion was heard from miles away.
export,Noun Verb,экспорт,The country's main export is agricultural products.
expose,Verb,разоблачать,The journalist aims to expose corruption in the government.
express,Verb,экспресс,She used the express checkout lane to save time at the supermarket.
expression,Noun,выражение,His facial expression showed surprise and disbelief.
extend,Verb,простираться,The road extends for miles along the coastline.
extent,Noun,степень,The extent of the damage caused by the storm was devastating.
external,Adjective,внешний,The external appearance of the building was impressive.
extra,"Adjective, Noun Adverb",дополнительный,I need to do some extra work to finish the project on time.
extraordinary,Adjective,необычайный,The magician performed extraordinary tricks that amazed the audience.
extreme,"Adjective, Noun",экстремальный,Climbing Mount Everest is an extreme sport that requires great skill.
extremely,Adverb,очень,The weather was extremely hot during the summer heatwave.
eye,Noun,глаз,She has beautiful blue eyes that sparkle in the sunlight.
face,Noun Verb,лицо,He has a friendly face and a warm smile.
facility,Noun,объект,The new sports facility has state-of-the-art equipment.
fact,Noun,факт,It is a well-known fact that exercise is good for your health.
factor,Noun,фактор,Time management is an important factor for success.
factory,Noun,завод,The factory produces cars at a high rate of production.
fail,Verb,потерпеть поражение,"He didn't study for the exam, so he knew he would fail."
failure,Noun,отказ,The failure of the project was due to poor planning.
fair,Adjective,справедливая,The judge made a fair decision based on the evidence presented.
fairly,Adverb,довольно,The price of the product is fairly reasonable.
faith,Noun,вера,She has faith in her abilities to overcome any challenges.
fall,Verb Noun,падение,The leaves fall from the trees in autumn.
FALSE,Adjective,ложный,The information provided was false and misleading.
familiar,Adjective,знакомый,"The town looked familiar, as if I had been there before."
family,Noun Adjective,семья,Spending time with family is important to me.
famous,Adjective,известный,The actor is famous for his award-winning performances.
fan,Noun,поклонник,She is a dedicated fan of the rock band and attends all their concerts.
fancy,Verb Adjective,маскарадный,They decided to dress up in fancy costumes for the masquerade party.
fantastic,Adjective,фантастика,The view from the top of the mountain was absolutely fantastic.
far,"Adverb , Adjective",далеко,The nearest grocery store is far from here.
farm,Noun Verb,ферма,They live on a farm and grow their own vegetables.
farmer,Noun,фермер,The farmer harvested the crops in the fields.
farming,Noun,сельское хозяйство,His family has been in farming for generations.
fascinating,Adjective,очаровательный,The documentary about wildlife was fascinating and informative.
fashion,Noun,мода,She has a keen sense of fashion and always dresses stylishly.
fashionable,Adjective,модный,The latest fashion trends are showcased at the fashion week.
fast,"Adjective, Adverb",быстро,He ran as fast as he could to catch the bus.
fasten,Verb,скрепить,Please fasten your seatbelt before takeoff.
fat,"Adjective, Noun",жир,A diet high in saturated fat can increase the risk of heart disease.
father,Noun,отец,Her father gave her valuable advice before she left for college.
fault,Noun,придираться,She has a habit of finding fault in everything I do.
favour,Noun Verb,одолжение,Can you do me a favor and pick up my dry cleaning?
favourite,"Adjective, Noun",любимый,The teacher's favourite student always receives special attention.
fear,Noun Verb,страх,She has a fear of heights and avoids tall buildings.
feather,Noun,перо,The bird's feathers were vibrant and colorful.
feature,Noun Verb,характерная черта,The main feature of the new smartphone is its advanced camera.
February,Noun,февраль,"His birthday is in February, during the winter season."
fee,Noun,плата,The membership fee for the gym is $50 per month.
feed,Verb Noun,подача,She used a spoon to feed the baby his lunch.
feedback,Noun,Обратная связь,I appreciate your feedback on the presentation.
feel,Verb Noun,Чувствовать,I feel tired after a long day of work.
feeling,Noun,чувство,Happiness is a wonderful feeling.
fellow,Adjective,человек,He is a fellow student in my class.
female,"Adjective, Noun",женщина,She is a talented female artist.
fence,Noun,забор,The house is surrounded by a wooden fence.
festival,Noun,фестиваль,We attended a music festival over the weekend.
few,"det./Adjective, proNoun",несколько,There are only a few apples left in the basket.
fiction,Noun,художественная литература,I enjoy reading science fiction novels.
field,Noun,поле,The children are playing soccer in the field.
fifteen,number,15,He celebrated his fifteenth birthday last week.
fifth,number,пятый,She finished in fifth place in the race.
fifty,number,50,The store is offering a fifty percent discount on all items.
fight,Verb Noun,борьба,The two boxers entered the ring for a fight.
fighting,Noun,борьба,The soldiers showed great bravery in the fighting.
figure,Noun Verb,фигура,She is a talented figure skater.
file,Noun Verb,файл,Please send me the file via email.
fill,Verb,заливка,He asked the bartender to fill his glass with water.
film,Noun Verb,фильм,We watched a romantic film at the cinema.
final,"Adjective, Noun",окончательный,This is the final decision of the committee.
finally,Adverb,Ну наконец то,"Finally, the train arrived at the station."
finance,Noun Verb,финансы,He works in the field of finance.
financial,Adjective,финансовый,The company is facing financial difficulties.
find,Verb,найти,I hope to find a solution to the problem.
finding,Noun,обнаружение,The scientist made an important finding in his research.
fine,Adjective,отлично,"The weather is fine today, perfect for a picnic."
finger,Noun,Палец,She pricked her finger while sewing.
finish,Verb Noun,финиш,He was the first to finish the race.
fire,Noun Verb,Пожар,The fire spread rapidly through the building.
firm,Noun,фирма,He works for a well-known law firm.
first,det./number.AdVerb Noun,первый,This is my first time visiting this city.
firstly,Adverb,во-первых,"Firstly, let's discuss the main objectives of the project."
fish,Noun Verb,рыбы,We caught a lot of fish during our fishing trip.
fishing,Noun,рыбная ловля,His favorite hobby is fishing in the lake.
fit,Verb Adjective,поместиться,The new dress fits her perfectly.
fitness,Noun,фитнес,He goes to the gym regularly to improve his fitness.
five,number,пять,I have five brothers and sisters.
fix,Verb Noun,исправление,The plumber came to fix the leaky faucet.
fixed,Adjective,фиксированный,The schedule is fixed and cannot be changed.
flag,Noun,флаг,The flag represents our country.
flame,Noun,пламя,The candle's flame flickered in the wind.
flash,Noun Verb,вспышка,The photographer captured a perfect flash of lightning.
flat,Noun Adjective,квартира,They live in a spacious flat in the city center.
flexible,Adjective,гибкий,Yoga helps improve flexibility and strength.
flight,Noun,рейс,The flight was delayed due to bad weather.
float,Verb,поплавок,The boat floated gently on the calm lake.
flood,Noun Verb,наводнение,The heavy rain caused a flood in the city.
floor,Noun,пол,The living room is on the ground floor of the house.
flour,Noun,порошок,She used flour to bake a delicious cake.
flow,Verb Noun,течь,The river flows through the forest.
flower,Noun,цветок,She received a bouquet of beautiful flowers on her birthday.
flu,Noun,грипп,Many people get the flu during the winter season.
fly,Verb Noun,летать,Birds fly in the sky.
flying,Noun Adjective,летающий,The flying squirrel glided through the air.
focus,Verb Noun,фокус,Please focus on the task at hand.
fold,Verb Noun,складка,She neatly folded the clothes and put them in the drawer.
folding,Adjective,складной,The folding chair can be easily stored when not in use.
folk,Noun Adjective,люди,Traditional folk music is popular in this region.
follow,Verb,следовать,I will follow your instructions carefully.
following,"Adjective, Noun prep",следующий,The following chapter provides a summary of the findings.
food,Noun,питание,I enjoy trying different types of food from around the world.
foot,Noun,нога,She hurt her foot while playing soccer.
football,Noun,футбол,They play football every weekend.
for,prep.,для,This gift is for you.
force,NounVerb,сила,The police used force to control the crowd.
foreign,Adjective,иностранные,He speaks several foreign languages.
forest,Noun,лес,We went for a hike in the forest.
forever,Adverb,навсегда,Their love will last forever.
forget,Verb,забывать,Don't forget to turn off the lights before you leave.
forgive,Verb,прощать,I forgave him for his mistakes.
fork,Noun,вилка,"Can you pass me a fork, please?"
form,NounVerb,форма,Please fill out this form with your personal information.
formal,Adjective,формальный,He always dresses in a formal attire for work.
former,Adjective,бывший,The former president gave a speech at the conference.
fortunately,Adverb,к счастью,"Fortunately, I had my umbrella when it started raining."
fortune,Noun,состояние,She inherited a large fortune from her grandfather.
forty,number,сорок,I have forty apples in the basket.
forward,AdVerb Adjective,вперед,The team moved forward to attack the opponent's goal.
found,Verb,нашел,I found my keys under the sofa.
four,number,четыре,There are four people in my family.
fourteen,number,14,She celebrated her fourteenth birthday yesterday.
fourth,number,четвертый,He finished in fourth place in the race.
frame,NounVerb,Рамка,The artist framed her painting and put it on the wall.
free,"Adjective, AdVerb Verb",свободно,"He has a free day tomorrow, so he can relax."
freedom,Noun,свобода,Freedom of speech is a fundamental right.
freeze,Verb,замерзать,The water freezes in winter.
frequency,Noun,частота,The frequency of the radio station is 99.9 FM.
frequently,Adverb,часто,She frequently travels for work.
fresh,Adjective,свежий,I bought some fresh fruits from the market.
Friday,Noun,пятница,Let's meet for dinner on Friday.
fridge,Noun,холодильник,The milk is in the fridge.
friend,Noun,друг,He is my best friend.
friendly,Adjective,дружелюбный,The staff at the hotel was very friendly and helpful.
friendship,Noun,дружба,Their friendship began in elementary school.
frighten,Verb,страшить,The horror movie can frighten young children.
frightened,Adjective,испугавшись,She felt frightened when she heard a loud noise.
